Ticker,Market,ETF Name,Category,Subcategory
IWS,NYSE Arca,iShares Russell Midcap Value Index,Stock ETFs,Mid-cap ETFs
MDY,NYSE Arca,MidCap SPDR,Stock ETFs,Mid-cap ETFs
PDP,NYSE Arca,PowerShares DWA Mom Port,Stock ETFs,Mid-cap ETFs
SCHM,NYSE Arca,Schwab US Mid-Cap,Stock ETFs,Mid-cap ETFs
VO,NYSE Arca,Vanguard Mid-Cap,Stock ETFs,Mid-cap ETFs
VOE,NYSE Arca,Vanguard Mid-Cap Value,Stock ETFs,Mid-cap ETFs
VOT,NYSE Arca,Vanguard Mid-Cap Growth,Stock ETFs,Mid-cap ETFs
VXF,NYSE Arca,Vanguard Extended Market,Stock ETFs,Mid-cap ETFs
AAXJ,NASDAQ,iShares MSCI All Country Asia ex Jpn Idx,Stock ETFs,Regional ex-US ETFs
AND,NYSE Arca,Global X FTSE Andean 40 ETF,Stock ETFs,Regional ex-US ETFs
DFE,NYSE Arca,WisdomTree Europe SmallCap Dividend,Stock ETFs,Regional ex-US ETFs
EPP,NYSE Arca,iShares MSCI Pacific ex-Japan,Stock ETFs,Regional ex-US ETFs
EZU,NYSE Arca,iShares MSCI EMU Index,Stock ETFs,Regional ex-US ETFs
FEZ,NYSE Arca,SPDR EURO STOXX 50,Stock ETFs,Regional ex-US ETFs
GXF,NYSE Arca,Global X FTSE Nordic Region ETF,Stock ETFs,Regional ex-US ETFs
HEDJ,NYSE Arca,WisdomTree Europe Hedged Equity ETF,Stock ETFs,Regional ex-US ETFs
IEV,NYSE Arca,iShares S&P Europe 350 Index,Stock ETFs,Regional ex-US ETFs
ILF,NYSE Arca,iShares S&P Latin America 40 Index,Stock ETFs,Regional ex-US ETFs
VGK,NYSE Arca,Vanguard MSCI Europe,Stock ETFs,Regional ex-US ETFs
VPL,NYSE Arca,Vanguard MSCI Pacific,Stock ETFs,Regional ex-US ETFs
FNDA,NYSE Arca,Schwab Fundamental U.S. Small Company Index ETF,Stock ETFs,Small-cap ETFs
IJR,NYSE Arca,iShares S&P SmallCap 600 Index,Stock ETFs,Small-cap ETFs
IJS,NYSE Arca,iShares S&P SmallCap 600 Value Index,Stock ETFs,Small-cap ETFs
IJT,NYSE Arca,iShares S&P SmallCap 600 Growth Index,Stock ETFs,Small-cap ETFs
IWC,NYSE Arca,iShares Micro-Cap,Stock ETFs,Small-cap ETFs
IWM,NYSE Arca,iShares Russell 2000 Index,Stock ETFs,Small-cap ETFs
IWN,NYSE Arca,iShares Russell 2000 Value Index,Stock ETFs,Small-cap ETFs
IWO,NYSE Arca,iShares Russell 2000 Growth Index,Stock ETFs,Small-cap ETFs
SCHA,NYSE Arca,Schwab US Small-Cap ETF,Stock ETFs,Small-cap ETFs
VB,NYSE Arca,Vanguard Small-Cap,Stock ETFs,Small-cap ETFs
VBK,NYSE Arca,Vanguard Small-Cap Growth,Stock ETFs,Small-cap ETFs
VBR,NYSE Arca,Vanguard Small-Cap Value,Stock ETFs,Small-cap ETFs
VIOG,NYSE Arca,Vanguard S&P Small-Cap 600 Growth,Stock ETFs,Small-cap ETFs
VIOO,NYSE Arca,Vanguard S&P Small-Cap 600,Stock ETFs,Small-cap ETFs
VIOV,NYSE Arca,Vanguard S&P Small-Cap 600 Value,Stock ETFs,Small-cap ETFs
VTWG,NYSE Arca,Vanguard Russell 2000 Growth,Stock ETFs,Small-cap ETFs
VTWO,NYSE Arca,Vanguard Russell 2000,Stock ETFs,Small-cap ETFs
VTWV,NYSE Arca,Vanguard Russell 2000 Value,Stock ETFs,Small-cap ETFs
AMLP,NYSE Arca,ALPS Alerian MLP ETF,Stock ETFs,US domestic sectors
ESPO,NYSE Arca,VanEck Vectors Video Gaming and eSports ETF,Stock ETFs,US domestic sectors
FBT,NYSE Arca,First Trust NYSE Arca Biotech Index,Stock ETFs,US domestic sectors
FDN,NYSE Arca,First Trust Dow Jones Internet Index,Stock ETFs,US domestic sectors
FXH,NYSE Arca,First Trust Health Care AlphaDEX,Stock ETFs,US domestic sectors
GDX,NYSE Arca,Market Vectors Gold Miners ETF,Stock ETFs,US domestic sectors
GDXJ,NYSE Arca,Market Vectors Junior Gold Miners ETF,Stock ETFs,US domestic sectors
IBB,NASDAQ,iShares Nasdaq Biotechnology,Stock ETFs,US domestic sectors
IDU,NYSE Arca,iShares Dow Jones US Utilities,Stock ETFs,US domestic sectors
IGE,NYSE Arca,iShares North American Natural Resources,Stock ETFs,US domestic sectors
IGV,NYSE Arca,iShares North American Tech-Software,Stock ETFs,US domestic sectors
ITB,NYSE Arca,iShares US Home Construction,Stock ETFs,US domestic sectors
IYC,NYSE Arca,iShares Dow Jones US Consumer Services,Stock ETFs,US domestic sectors
IYE,NYSE Arca,iShares Dow Jones US Energy,Stock ETFs,US domestic sectors
IYF,NYSE Arca,iShares Dow Jones US Financial,Stock ETFs,US domestic sectors
IYH,NYSE Arca,iShares Dow Jones US Health Care,Stock ETFs,US domestic sectors
IYJ,NYSE Arca,iShares Dow Jones US Industrial,Stock ETFs,US domestic sectors
IYK,NYSE Arca,iShares Dow Jones US Consumer Goods,Stock ETFs,US domestic sectors
IYM,NYSE Arca,iShares Dow Jones US Materials,Stock ETFs,US domestic sectors
IYW,NYSE Arca,iShares Dow Jones US Technology,Stock ETFs,US domestic sectors
IYZ,NYSE Arca,iShares Dow Jones US Telecommunications,Stock ETFs,US domestic sectors
KBE,NYSE Arca,SPDR S&P Bank ETF,Stock ETFs,US domestic sectors
KRE,NYSE Arca,SPDR S&P Regional Banking ETF,Stock ETFs,US domestic sectors
NERD,NERD:NYSE Arca,Roundhill BITKRAFT Esports & Digital Entertainment ETF,Stock ETFs,US domestic sectors
OIH,NYSE Arca,Market Vectors Oil Services ETF,Stock ETFs,US domestic sectors
PJP,NYSE Arca,PowerShares Dynamic Pharmaceuticals,Stock ETFs,US domestic sectors
QCLN,NASDAQ,Clean Edge Green Energy,Stock ETFs,US domestic sectors
VAW,NYSE Arca,Vanguard Materials,Stock ETFs,US domestic sectors
VCR,NYSE Arca,Vanguard Consumer Discretionary,Stock ETFs,US domestic sectors
VDC,NYSE Arca,Vanguard Consumer Staples,Stock ETFs,US domestic sectors
VDE,NYSE Arca,Vanguard Energy,Stock ETFs,US domestic sectors
VFH,NYSE Arca,Vanguard Financials,Stock ETFs,US domestic sectors
VGT,NYSE Arca,Vanguard Information Technology,Stock ETFs,US domestic sectors
VHT,NYSE Arca,Vanguard Health Care,Stock ETFs,US domestic sectors
VIS,NYSE Arca,Vanguard Industrials,Stock ETFs,US domestic sectors
VOX,NYSE Arca,Vanguard Telecommunication Services,Stock ETFs,US domestic sectors
VPU,NYSE Arca,Vanguard Utilities,Stock ETFs,US domestic sectors
XBI,NYSE Arca,SPDR S&P Biotech ETF,Stock ETFs,US domestic sectors
XHB,NYSE Arca,SPDR S&P Homebuilders ETF,Stock ETFs,US domestic sectors
XLB,NYSE Arca,Materials Select Sector SPDR,Stock ETFs,US domestic sectors
XLE,NYSE Arca,Energy Select Sector SPDR,Stock ETFs,US domestic sectors
XLF,NYSE Arca,Financial Select Sector SPDR,Stock ETFs,US domestic sectors
XLI,NYSE Arca,Industrial Select Sector SPDR,Stock ETFs,US domestic sectors
XLK,NYSE Arca,Technology Select Sector SPDR,Stock ETFs,US domestic sectors
XLP,NYSE Arca,Consumer Staples Select Sector SPDR,Stock ETFs,US domestic sectors
XLU,NYSE Arca,Utilities Select Sector SPDR,Stock ETFs,US domestic sectors
XLV,NYSE Arca,Health Care Select Sector SPDR,Stock ETFs,US domestic sectors
XLY,NYSE Arca,Consumer Discretionary Select Sector SPDR,Stock ETFs,US domestic sectors
XOP,NYSE Arca,SPDR S&P Oil & Gas Explor & Prod ETF,Stock ETFs,US domestic sectors
